property_id,postal_code,type_of_property,subtype_of_property,price,bedrooms,living_area,openfire,terrace,garden,rooms,bathrooms,region,province,state_of_property,facade_count,heating,kitchen,furnished,swimmingpool
11201476,6640,HOUSE,TOWN_HOUSE,335000,3,250,False,,False,,1,Wallonie,Luxembourg,,4,GAS,INSTALLED,False,False
10995161,8370,APARTMENT,FLAT_STUDIO,134900,0,,False,,False,,1,Flandres,Flandre Occidentale,,1,GAS,INSTALLED,,False
11201479,3700,HOUSE,HOUSE,325000,3,138,False,20,False,,1,Flandres,Limbourg,,3,,INSTALLED,,
11201488,6460,HOUSE,HOUSE,40000,2,179,False,20,False,,1,Wallonie,Hainaut,,4,,INSTALLED,False,
11201486,6637,HOUSE,COUNTRY_COTTAGE,235000,3,220,False,,False,,,Wallonie,Luxembourg,TO_RENOVATE,3,,NOT_INSTALLED,False,False
11201490,8870,HOUSE,HOUSE,295000,3,168,False,,False,1,1,Flandres,Flandre Occidentale,GOOD,4,,,,
11201491,8300,APARTMENT,APARTMENT,905000,2,61,False,,False,1,,Flandres,Flandre Occidentale,GOOD,4,,,,
11201141,8520,HOUSE,HOUSE,324450,5,482,False,85,False,1,1,Flandres,Flandre Occidentale,TO_BE_DONE_UP,2,GAS,,,
11201143,1030,APARTMENT,APARTMENT,215000,1,50,False,5,False,,1,Bruxelles,Bruxelles,GOOD,2,ELECTRIC,HYPER_EQUIPPED,,False
11201065,8420,APARTMENT,APARTMENT,109000,2,47,False,,False,1,1,Flandres,Flandre Occidentale,GOOD,,ELECTRIC,,,
11201069,8020,HOUSE,HOUSE,795000,3,190,False,,False,1,1,Flandres,Flandre Occidentale,GOOD,4,,,,
11201211,8700,HOUSE_GROUP,HOUSE_GROUP,,,,False,,False,,,Flandres,Flandre Occidentale,,,,,,
11201210,8400,APARTMENT,SERVICE_FLAT,299000,1,,False,,False,1,,Flandres,Flandre Occidentale,GOOD,,,,,
